u,v,u_minus_v,fit,sim_μ,app_μ,nb_μ,sim_σ²,app_σ²,nb_σ²,sim_p,app_p,nb_p,sim_skew,nb_skew,sim_exkurt,nb_exkurt,sim_μ_m0,sim_σ²_m0,sim_p_m0,sim_skew_m0,sim_exkurt_m0
0.0005,0.0001,0.0004,exp,1.8116340632603403,1.9960047942469037,1.4949056647168697,1.8145929836009622,2.0,1.4974472575201698,0.9983693751891677,0.9980023971234518,0.9983027163123533,0.7508932772081387,0.8199709678744694,0.5617691745764521,0.6746270057432283,1.8108795620437959,1.8120038281995117,0.9993795453750046,0.7498493606676696,0.5583582758137478
0.001,0.0001,0.0009,exp,3.7011226277372278,4.482039513071243,3.982444193256452,3.7098886980048595,4.5,3.9951892809998726,0.9976371069373736,0.9960087806824984,0.9968098913851133,0.5255528242037224,0.5035031856101286,0.27686734753519265,0.25512267088803275,3.69783309002433,3.699360903260318,0.9995870061678379,0.524329342933746,0.27484796190826544
0.0015,0.0001,0.0014,exp,6.515144768856447,6.958133971291864,6.462550212207609,6.545729902457411,7.0,6.492927207213048,0.9953274678215058,0.9940191387559806,0.9953215254020262,0.3952452684535062,0.39613519923561435,0.15870684279475386,0.15837777432043754,6.506043309002435,6.517473596836998,0.9982462088008902,0.3936855518052997,0.15627119311000848
0.0022,0.0001,0.0021000000000000003,exp,10.013840632603404,10.408023093768666,9.92227462190842,10.082413554428266,10.500000000000002,9.989752744746216,0.9931987592599052,0.9912402946446347,0.9932452659678405,0.31933005164925765,0.32069324124709475,0.10358998167957638,0.10421494363910551,9.992976155717761,10.017594300924584,0.9975425092624732,0.31742698174463774,0.10131855727236111
0.003,0.0001,0.0029000000000000002,exp,13.791600486618005,14.327072152653546,13.858602333052568,13.90448666900246,14.5,13.986113988878818,0.9918813124805165,0.9880739415623135,0.9908829817969708,0.2737746490652492,0.2723144135492487,0.07211120574397117,0.075482965358002,13.751713381995131,13.78206549610705,0.9977977093404111,0.2718762878237838,0.07013104190250093
0.004,0.0001,0.0039000000000000003,exp,18.757829440389298,19.19053759174767,18.752743559142456,18.964725108832127,19.5,18.981549345989688,0.989090500006959,0.984130132910137,0.9879458845705041,0.23577989277517683,0.2351282164910872,0.05851936719355658,0.0565865480491069,18.684829440389297,18.74019701321163,0.9970455181029687,0.23317536140608017,0.056121809344802535
0.005,0.0001,0.0049,exp,23.58881094890511,24.014947535141552,23.61793923440208,23.937172935888025,24.499999999999996,23.976966705369637,0.9854468199767805,0.9802019402098594,0.9850261513318466,0.21080270645378565,0.21043112247147122,0.04510207996875721,0.045568539236945406,23.473961313868617,23.585762445036487,0.9952598042387475,0.20840615525460623,0.04299513949376517
0.006,0.0001,0.0059,exp,28.599262043795623,28.800533491404856,28.454445290501567,29.088154503868665,29.499999999999996,28.97236606713536,0.9831927302226059,0.97628927089508,0.9821236285834005,0.19128359768989475,0.19254705978274284,0.036447384621819456,0.038353731154913556,28.431385888077855,28.580931033090028,0.99476766012839,0.18870981079962207,0.03489068797030831
0.008,0.0001,0.0079,exp,38.09487055961071,38.25615036410156,38.04239727737014,38.988688143990245,39.5,38.96311079829576,0.9770749510453249,0.9685101358000394,0.9763696095598741,0.16801862670496184,0.1679585459696516,0.03138757242683954,0.029482458816909703,37.79590510948904,38.079165068223865,0.9925612875642802,0.16500181456117896,0.029987204109473222
0.01,0.0001,0.0099,exp,47.86525012165451,47.55920407763184,47.51858760635417,49.2705769278345,49.5,48.95378354042272,0.9714773624786587,0.96079200156832,0.9706826351249549,0.15276681291635386,0.15155801461774937,0.02526580036189566,0.024241032554498644,47.39602846715328,47.84966174659352,0.9905196136632557,0.14976646464058913,0.023710932430555637
0.012,0.0001,0.0119,exp,57.242649635036486,56.71148213239602,56.884958312445136,59.24700207902677,59.5,58.944384294479775,0.966169555021252,0.9531341534856475,0.9650615405235896,0.13935710575265936,0.13968131011763446,0.024020366202791698,0.02078373031898484,56.569671289537716,57.19901226318721,0.9889973454304817,0.13568338214081796,0.02151606194953859
0.016,0.0001,0.0159,exp,76.06090729927007,74.57072272815346,75.29578664671912,79.52744950046231,79.5,78.92536984230112,0.9564107459378276,0.9379965123038171,0.954012465157475,0.12145567649630563,0.12341391997279437,0.01670355396487546,0.016511394864481204,74.87010121654501,75.90456237600974,0.9863715549226106,0.11736617821263691,0.014622524399175095
0.02,0.0001,0.0199,exp,94.51924282238443,91.84762545664294,93.28954678180533,99.981317481119,99.5,98.906067449719,0.9453690469745404,0.9230917131320899,0.9432135882789097,0.11138434481209271,0.11265895136092825,0.013931810781004379,0.013982757393012446,92.67541508515814,94.34165538447681,0.98233823338664,0.10665261916502303,0.012677006673128878
0.026,0.0001,0.0259,exp,121.6546384428224,116.70015206234555,119.5286559517075,130.65596943625314,129.5,128.8765739904876,0.9311066227416231,0.9011594753849077,0.9274661193315857,0.09888316968703316,0.1018652312174694,0.007544395527720056,0.01168510696122413,118.58328199513383,121.27491826790744,0.9778054991813927,0.09389805551975959,0.006640365284749447
0.032,0.0001,0.0319,exp,148.29035547445253,140.3156361586168,144.90543027297485,161.80302916883213,159.49999999999997,158.84643271211877,0.9164868929599587,0.8797218567938359,0.9122359740718287,0.09231324410903591,0.09461037506943358,0.006288991460303472,0.010278990374305037,143.70709805352797,147.74156083291965,0.9726924315903618,0.0864693060085892,0.005912599365615951
0.04,0.0001,0.0399,exp,182.8100372262774,169.9499166820959,177.47159244952852,203.13184665807776,199.49999999999997,198.80523667322183,0.8999575410447229,0.851879281614516,0.8926907329973424,0.08420510025290684,0.08797393098225241,0.0049621679940219455,0.009094094504743256,175.79493673965936,181.62953537970776,0.9678763774413076,0.0786218067359872,0.003317761938598321
0.05,0.0001,0.0499,exp,224.96283090024338,204.1446100708962,216.26673295126255,255.69202278255503,249.5,248.7521222609849,0.8798195127563901,0.818214870023632,0.869406584295834,0.07922337926221294,0.08245179781917537,0.0038175953863433553,0.008187415343169323,214.2712374695863,222.7083511072018,0.9621158632100228,0.07329346029287656,0.0037362567262315426
0.07,0.0001,0.0699,exp,307.0543403892944,263.6729521136642,288.0825661125851,363.0189346805117,349.5,348.6404961306385,0.8458356054058971,0.75442904753552,0.8263026507529927,0.07194668614731174,0.07607256541396624,-0.001651459257894686,0.007246410751043447,286.9948233576643,300.7257941479806,0.9543405618755817,0.06582292289821778,-0.001599945666072347
0.08,0.0001,0.0799,exp,349.79323430656933,289.31210136183415,321.3827322203138,417.73841155301676,399.5,398.58198473264514,0.8373499410938794,0.7241854852611619,0.8063152488838303,0.07084670831980837,0.0741525243361649,-0.001229149055705175,0.006993448235420736,323.91002481751826,337.6616109559125,0.9592740610948819,0.06424867342914427,-0.0026528024669422116
