u,v,u_minus_v,fit,sim_μ,app_μ,nb_μ,sim_σ²,app_σ²,nb_σ²,sim_p,app_p,nb_p,sim_skew,nb_skew,sim_exkurt,nb_exkurt
0.0005,0.0001,0.0004,exp,1.170174695863747,1.9960047942469037,1.4949056647168697,1.1719194501216468,2.0,1.4974472575201698,0.9985111995046086,0.9980023971234518,0.9983027163123533,1.0059936710979223,0.8199709678744694,1.1025761240634941,0.6746270057432283
0.001,0.0001,0.0009,exp,3.837530900243308,4.482039513071243,3.982444193256452,3.8477305926033947,4.5,3.9951892809998726,0.9973491667062934,0.9960087806824984,0.9968098913851133,0.5160420970461159,0.5035031856101286,0.2696566822447356,0.25512267088803275
0.0015,0.0001,0.0014,exp,6.485912652068128,6.958133971291864,6.462550212207609,6.508937999878333,7.0,6.492927207213048,0.996462503128677,0.9940191387559806,0.9953215254020262,0.3961338369939838,0.39613519923561435,0.15554942780263178,0.15837777432043754
0.0022,0.0001,0.0021000000000000003,exp,9.897882238442822,10.408023093768666,9.92227462190842,9.974650419416038,10.500000000000002,9.989752744746216,0.9923036720340811,0.9912402946446347,0.9932452659678405,0.3219763635194163,0.32069324124709475,0.10189161419253756,0.10421494363910551
0.003,0.0001,0.0029000000000000002,exp,13.860680778588808,14.327072152653546,13.858602333052568,13.987523161021887,14.5,13.986113988878818,0.9909317481749348,0.9880739415623135,0.9908829817969708,0.27368853171128976,0.2723144135492487,0.07424744559449703,0.075482965358002
0.004,0.0001,0.0039000000000000003,exp,18.783044768856445,19.19053759174767,18.752743559142456,19.00308281240872,19.5,18.981549345989688,0.9884209290816438,0.984130132910137,0.9879458845705041,0.23352239241734993,0.2351282164910872,0.049505033673964846,0.0565865480491069
0.005,0.0001,0.0049,exp,23.793909975669106,24.014947535141552,23.61793923440208,24.16422211995139,24.499999999999996,23.976966705369637,0.9846751886965758,0.9802019402098594,0.9850261513318466,0.21141903373344495,0.21043112247147122,0.046468232472363355,0.045568539236945406
0.006,0.0001,0.0059,exp,28.54685182481752,28.800533491404856,28.454445290501567,29.048631405133804,29.499999999999996,28.97236606713536,0.9827262230251713,0.97628927089508,0.9821236285834005,0.19232855390073159,0.19254705978274284,0.039366116077250116,0.038353731154913556
0.008,0.0001,0.0079,exp,38.19694744525548,38.25615036410156,38.04239727737014,39.0571165780048,39.5,38.96311079829576,0.9779766350382935,0.9685101358000394,0.9763696095598741,0.16559649471038893,0.1679585459696516,0.02476218992326409,0.029482458816909703
0.01,0.0001,0.0099,exp,47.777555474452555,47.55920407763184,47.51858760635417,49.16498411379568,49.5,48.95378354042272,0.9717801466968476,0.96079200156832,0.9706826351249549,0.14946959307585245,0.15155801461774937,0.023573178331471153,0.024241032554498644
0.012,0.0001,0.0119,exp,57.3353399026764,56.71148213239602,56.884958312445136,59.34842381856446,59.5,58.944384294479775,0.9660802463424756,0.9531341534856475,0.9650615405235896,0.14013467444672972,0.13968131011763446,0.023559270194605283,0.02078373031898484
0.016,0.0001,0.0159,exp,76.00401313868613,74.57072272815346,75.29578664671912,79.57803792447682,79.5,78.92536984230112,0.9550877996114632,0.9379965123038171,0.954012465157475,0.12279334463690159,0.12341391997279437,0.012465328579680685,0.016511394864481204
0.02,0.0001,0.0199,exp,94.54466009732361,91.84762545664294,93.28954678180533,100.01059660751817,99.5,98.906067449719,0.9453464263227517,0.9230917131320899,0.9432135882789097,0.11057408741865911,0.11265895136092825,0.015053028466878908,0.013982757393012446
0.026,0.0001,0.0259,exp,121.67285085158153,116.70015206234555,119.5286559517075,130.56850964917282,129.5,128.8765739904876,0.9318697990695213,0.9011594753849077,0.9274661193315857,0.09851573693764727,0.1018652312174694,0.009719466587486807,0.01168510696122413
0.032,0.0001,0.0319,exp,148.25615766423357,140.3156361586168,144.90543027297485,161.6810356598056,159.49999999999997,158.84643271211877,0.9169668975660237,0.8797218567938359,0.9122359740718287,0.08979212744757704,0.09461037506943358,0.008888051579092717,0.010278990374305037
0.04,0.0001,0.0399,exp,182.77400948905117,169.9499166820959,177.47159244952852,203.11387816863757,199.49999999999997,198.80523667322183,0.8998597788443634,0.851879281614516,0.8926907329973424,0.08385633800914374,0.08797393098225241,0.004466270635463707,0.009094094504743256
0.05,0.0001,0.0499,exp,225.11532189781022,204.1446100708962,216.26673295126255,255.77774460523116,249.5,248.7521222609849,0.8801208339891123,0.818214870023632,0.869406584295834,0.07913772661568615,0.08245179781917537,0.005899354164877077,0.008187415343169323
0.07,0.0001,0.0699,exp,306.83146253041366,263.6729521136642,288.0825661125851,362.78666973510997,349.5,348.6404961306385,0.8457627805190521,0.75442904753552,0.8263026507529927,0.07246874861666314,0.07607256541396624,0.006367390544653521,0.007246410751043447
0.08,0.0001,0.0799,exp,350.1508530413626,289.31210136183415,321.3827322203138,418.0064535598547,399.5,398.58198473264514,0.837668533725698,0.7241854852611619,0.8063152488838303,0.07217857063436223,0.0741525243361649,0.0029606020984941795,0.006993448235420736
