u,v,gamma,fit,sim_mean_post,sim_var_post,sim_rho_post,sim_skew_post,sim_exkurt_post,sim_mean_pre,sim_var_pre,sim_rho_pre,sim_skew_pre,sim_exkurt_pre
0.0005,0.0001,4.0,exp,0.041713625304136255,0.04184515909975669,1.0031532573508395,0.8485892992103339,2.1243982671744743,0.04169708029197081,0.04178928055961071,1.002211192414296,0.8474921097125109,2.1091900802012256
0.001,0.0001,4.0,exp,0.17775182481751828,0.17826179124087593,1.002868979960578,1.5820237018800385,4.613626937955064,0.17758199513381998,0.17773060817518246,1.0008368699836405,1.578889326754066,4.587907474841833
0.0022,0.0001,4.0,exp,0.6695664233576644,0.6732467296350365,1.005496551423407,1.2520959984149993,1.6027444061266896,0.6681498783454988,0.6688847828223843,1.0010999096171436,1.245379885018652,1.572770429899885
0.003,0.0001,4.0,exp,0.848269586374696,0.8546578028710462,1.007530880039743,1.1023974917456933,1.2271541544662399,0.8458148418491482,0.847140184111922,1.0015669413649402,1.094290971539319,1.1950082293968296
0.005,0.0001,4.0,exp,1.1529985401459855,1.1659163570802917,1.0112036715438257,0.9436491047025202,0.8950298589026112,1.1473841849148418,1.1489781450851582,1.0013892122545114,0.9324454763293327,0.8561995545973617
0.007,0.0001,4.0,exp,1.4140381995133824,1.4348923129683704,1.0147479137849067,0.8543333529965977,0.730600805337951,1.4043673965936738,1.4057232091970804,1.0009654258612775,0.8404869954776932,0.689744352219637
0.01,0.0001,4.0,exp,1.7112627737226278,1.7444946443309004,1.0194195018547507,0.7818085531789698,0.6199990082365264,1.6944440389294402,1.69360870703163,0.9995070171226558,0.7632824028753525,0.5683198696366333
0.015,0.0001,4.0,exp,2.1098384428223844,2.1725249726034064,1.029711530754537,0.7097245758474359,0.5065874004156921,2.0788647201946473,2.0790945333333335,1.0001105474235306,0.6853962144689115,0.4471044521731073
0.02,0.0001,4.0,exp,2.4283009732360097,2.5233396745255474,1.0391379414401367,0.6665824182464221,0.4431905469677764,2.3808250608272505,2.3802774936496354,0.9997700094867848,0.637504014698901,0.3774970753428388
0.026,0.0001,4.0,exp,2.7572377128953764,2.888493339148418,1.0476040298009743,0.6274147578868581,0.3854001011908826,2.687601946472019,2.6797257957664224,0.997069450438546,0.5922486234887137,0.3073680307278078
0.032,0.0001,4.0,exp,3.0432710462287114,3.21700179649635,1.0570868475494253,0.6035534579972035,0.3620222726361138,2.9491569343065693,2.9344027999756697,0.9949971687978793,0.5630589779631344,0.27910524142568766
